DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
2008-10-13,104-07,37.0567,130.0,22.8556,22.8521,22.8538,22.8575,19.5132,16.3109,13.5518,10.5676,7.2985,2.7725,1.5666,1.1379,0.8012,0.6289,0.7929
2008-12-12,104-07,37.0567,130.0,16.1485,16.1255,16.043,15.9708,15.8531,15.4627,9.5475,4.3341,2.5553,1.3889,1.0704,0.8875,0.6852,0.5703,0.6801
2009-02-27,104-07,37.0567,130.0,14.2185,14.075999999999999,13.776,13.0991,12.9679,12.5233,12.062000000000001,10.9607,5.9804,1.9524,1.2485,0.9485,0.7412,0.601,0.5695
2009-04-10,104-07,37.0567,130.0,14.9645,14.5155,14.3173,13.1677,12.9409,12.7189,11.9416,11.2017,10.0654,2.7349,1.3485,1.075,0.7705,0.6163,0.5707
2009-06-09,104-07,37.0567,130.0,18.1145,18.0501,17.6938,16.3737,15.3014,14.433,12.2217,11.0883,7.5866,2.239,1.2375,0.9777,0.7623,0.6296,0.6522
2009-08-23,104-07,37.0567,130.0,26.4337,25.979,22.283,25.7126,22.1907,16.1967,12.0138,8.296,4.8542,2.1107,1.1962,0.9429,0.7225,0.5957,0.7508
2009-10-14,104-07,37.0567,130.0,21.1415,21.1419,21.1444,21.1285,17.1447,15.1946,11.6713,8.2332,5.0703,1.74,1.15,0.8762,0.6667,0.5159,0.7674000000000001
2009-12-24,104-07,37.0567,130.0,14.0484,14.0569,13.649000000000001,13.0225,12.7968,12.5644,11.3708,8.1279,4.8112,1.7995,1.3086,0.9684,0.7277,0.5571,0.6155
2010-02-23,104-07,37.0567,130.0,8.4806,8.3873,8.1208,7.8906,6.6483,5.3387,3.915,2.8133,2.0284,1.1465,1.0322,0.8808,0.6759999999999999,0.5433,0.49760000000000004
2010-04-06,104-07,37.0567,130.0,10.3237,10.1399,9.7574,9.637,9.5045,6.9998,5.4495,3.5556,2.6032,1.7565,1.1919,0.9739,0.7675,0.6174,0.4479
2010-06-21,104-07,37.0567,130.0,21.7251,18.2512,16.4081,15.7455,15.1296,14.45,12.5371,9.3115,5.4787,1.6741,1.4380000000000002,1.2493,0.8227,0.674,0.5527000000000001
2010-10-17,104-07,37.0567,130.0,21.4451,21.4458,21.4467,18.5121,15.9973,13.2326,5.3984,3.1258,2.658,1.5892,1.0961,0.9256,0.727,0.5783,0.7455
2010-12-21,104-07,37.0567,130.0,15.5794,15.5843,15.572000000000001,15.5512,15.5056,15.302,8.2225,2.9626,2.0656,1.3187,1.0379,0.9007,0.6903,0.5632,0.6026
2011-02-20,104-07,37.0567,130.0,10.1231,10.2173,10.2176,10.2172,10.156,10.0996,9.7946,5.9864,3.0663,2.6114,1.5973,1.1565,0.8289,0.6882,0.49510000000000004
2011-04-12,104-07,37.0567,130.0,9.8733,9.7107,9.5508,9.0006,7.8112,6.6702,5.5986,4.2688,2.8952,1.9905,1.315,1.0624,0.8079,0.6033,0.4889
2011-06-13,104-07,37.0567,130.0,,,,,,,,,,,,,,,0.5524
2011-08-28,104-07,37.0567,130.0,24.7725,20.8483,15.1443,13.2749,10.319,9.6426,9.2771,8.7222,6.6299,3.0503,1.9296,1.527,1.024,0.7509,0.68
2011-10-09,104-07,37.0567,130.0,21.7517,21.7478,21.7522,18.0684,12.4844,10.2646,9.7264,9.3374,8.7635,4.7383,2.2729,1.5667,1.0824,0.7742,0.753
2011-12-14,104-07,37.0567,130.0,17.327,17.3438,17.344,17.340999999999998,17.344,16.5898,16.2802,6.9277,2.5452,1.5438,1.2423,1.0794,0.8221,0.6342,0.6941
2012-02-13,104-07,37.0567,130.0,10.3738,10.3655,10.3686,10.3471,10.3453,10.3321,10.2734,10.2262,10.1683,5.7156,2.0377,1.3907,0.9241,0.728,0.6053000000000001
2012-04-10,104-07,37.0567,130.0,10.0053,9.7617,9.7313,9.7125,9.6859,9.6054,9.6032,9.5676,9.4891,8.1116,5.4549,1.9267,1.101,0.7904,0.5897
2012-06-23,104-07,37.0567,130.0,21.5347,21.3036,18.2941,16.1056,14.6527,13.353,11.6631,10.081,8.0057,4.5208,1.9919,1.3177,0.8824,0.6859,0.6812
2012-08-25,104-07,37.0567,130.0,25.6487,25.6556,22.2801,13.0147,7.7121,4.0775,2.3304,1.7537,1.3463,1.0496,0.8625,0.7553,0.6019,0.5048,0.7354
2012-10-09,104-07,37.0567,130.0,20.7129,20.6731,20.7165,21.3334,16.3933,10.2762,5.9902,3.1783,2.1866,1.4508,1.2012,0.9651,0.7232,0.5918,0.7679
2012-12-17,104-07,37.0567,130.0,14.8472,14.8768,14.8759,14.8798,14.4432,12.6186,6.4248,3.7188,2.1976,1.348,1.0955,0.9503,0.6849,0.562,0.6108
2013-02-26,104-07,37.0567,130.0,10.21,10.2,10.21,10.21,10.22,10.22,10.22,9.7,8.04,4.28,1.98,1.34,0.86,0.67,0.6073000000000001
2013-04-16,104-07,37.0567,130.0,14.28,14.28,14.28,14.28,14.28,13.15,11.98,11.04,10.19,2.31,1.37,1.1,0.78,0.63,0.6225
2013-06-10,104-07,37.0567,130.0,20.41,19.35,17.07,12.85,6.47,2.46,1.74,1.35,1.19,0.99,0.91,0.82,0.71,0.64,0.49560000000000004
2013-08-21,104-07,37.0567,130.0,24.42,18.84,17.88,17.1,16.0,15.01,9.35,5.05,3.81,2.76,2.21,1.29,1.03,0.84,0.6789000000000001
2013-10-28,104-07,37.0567,130.0,20.69,20.69,20.69,20.69,18.99,16.26,14.07,9.74,5.8,2.59,1.49,1.17,0.86,0.71,0.8257
2013-12-09,104-07,37.0567,130.0,16.26,16.27,16.27,16.28,16.47,11.06,6.12,3.62,2.81,1.52,1.21,0.97,0.77,0.62,0.5924
2014-02-26,104-07,37.0567,130.0,12.9716,12.9674,12.9667,12.9479,12.3483,10.0966,9.8722,9.1007,7.1873,2.1594,1.1966,1.0668,0.867,0.7287,0.625
2014-04-18,104-07,37.0567,130.0,14.3188,14.0241,13.8206,13.5201,12.9823,12.0144,11.3811,10.6294,8.2607,3.2648,1.5461,1.1956,0.8801,0.6881,0.6908000000000001
2014-06-10,104-07,37.0567,130.0,19.512999999999998,19.3711,19.1151,17.1958,15.6171,15.4003,12.8946,9.1481,4.3627,1.8544,1.2367,1.0364,0.8054,0.6616,0.628
